Page,Paragraph_ID,Word_Count,Open_Codes,Original_Text_Snippet
16,P16_1,245,Access layer abstraction; Distribution layer aggregation; Core layer transport; Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 16 of 76 In environments where multiple distribution layer switches exist in close proxi...
17,P17_1,378,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 17 of 76 Oversubscription between the distribution and core layer switches – 40 Gbps upl...
18,P18_1,219,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 18 of 76 Oversubscription between the distribution and core layer switches – 100 Gbps up...
19,P19_1,573,Access layer abstraction; Distribution layer aggregation; Logical network/VLAN separation; Resilient infrastructure; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 19 of 76 Design Options: Campus Wired LAN When you scale from a single switch in a campu...
20,P20_1,248,Access layer abstraction; Distribution layer aggregation; Logical network/VLAN separation; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 20 of 76 Traditional looped design with VLANs spanning access switches Figure 13. Tradit...
21,P21_1,379,Access layer abstraction; Distribution layer aggregation; Logical network/VLAN separation; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 21 of 76 between the Layer 2 access ports and outbound Layer 3 connectivity. The benefit...
22,P22_1,457,Access layer abstraction; Distribution layer aggregation; Logical network/VLAN separation; Resilient infrastructure; Security protection boundary; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 22 of 76 Simplified distribution design with VLANs spanning access switches Figure 17. E...
23,P23_1,228,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 23 of 76 Cisco SD-Access campus design Figure 18. Beyond traditional network virtualizat...
25,P25_1,579,Logical network/VLAN separation; Security protection boundary; DHCP Snooping mitigation; Spanning-tree loop containment,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 25 of 76 Design Fundamentals: LAN Security Best Practices With any good network design, ..."
26,P26_1,176,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 26 of 76  Authentication server – This is a RADIUS server that validates the credential...
27,P27_1,541,Resilient infrastructure; Spanning-tree loop containment,© 2020 Cisco and/or its affiliates. All rights reserved. Page 27 of 76 Design Fundamentals: LAN High Availability To mitigate the concerns about unava...
28,P28_1,493,Resilient infrastructure; Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 28 of 76 StackWise Virtual Technology Figure 20. In order to bond the two switches toget...
29,P29_1,599,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 29 of 76 EtherChannel EtherChannel allows multiple physical Ethernet links to combine in...
30,P30_1,339,Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 30 of 76 Note: Fast software upgrade is supported only on access switches with a single ...
31,P31_1,265,Resilient infrastructure; Security protection boundary; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 31 of 76 Design Fundamentals: Campus Wireless LAN The campus WLAN provides ubiquitous da...
32,P32_1,433,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 32 of 76 Cisco Catalyst 9800 Series wireless controllers Cisco Catalyst 9800 Series wire...
33,P33_1,294,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 33 of 76 Platform Deployment Mode Preferred Topology Maximum APs Maximum Clients Control...
36,P36_1,430,Resilient infrastructure; Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 36 of 76 Cisco Catalyst 9100 Series APs Cisco Catalyst 9100 Series APs can handle the ch...
37,P37_1,398,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 37 of 76 Cisco Catalyst 9115AX Cisco Catalyst 9117AX Cisco Catalyst 9120AX Cisco Catalys...
39,P39_1,294,Distribution layer aggregation; Logical network/VLAN separation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 39 of 76 Cisco DNA Spaces network architectures Figure 27. An on premises deployment of ...
40,P40_1,264,Distribution layer aggregation; Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 40 of 76 Local-mode design model Figure 28. A centralized architecture uses the controll...
41,P41_1,255,Logical network/VLAN separation; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 41 of 76 Cisco FlexConnect design model Cisco FlexConnect is a wireless solution primari...
42,P42_1,435,Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 42 of 76 ● You have an existing local-mode controller pair at the same site as your WAN ...
44,P44_1,235,Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 44 of 76 Cisco EWC wireless design model Figure 31. The Cisco EWC platform provides the ...
47,P47_1,531,Resilient infrastructure,© 2020 Cisco and/or its affiliates. All rights reserved. Page 47 of 76 of wireless network outages are just as impactful as outages of the wired netwo...
48,P48_1,453,Logical network/VLAN separation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 48 of 76 WLAN controller link aggregation Cisco wireless controller appliances have mult...
49,P49_1,441,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 49 of 76 Preferred redundancy - Single Cisco Catalyst 9800 controller connected to redun...
50,P50_1,347,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 50 of 76 Support for new AP models using Access Point Device Packs (APDPs) Beginning wit...
51,P51_1,282,Security protection boundary; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 51 of 76 Remote sites that use Cisco FlexConnect local switching mode can also benefit f...
52,P52_1,174,Logical network/VLAN separation; Security protection boundary; Guest access isolation,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 52 of 76 Cisco FlexConnect guest deployments For Cisco FlexConnect guest deployments, th..."
53,P53_1,581,Logical network/VLAN separation; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 53 of 76 encapsulated right from the fabric edge node to the Guest Border/Control Plane ...
55,P55_1,399,Logical network/VLAN separation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 55 of 76 Bonjour deployment limitation in enterprise networks Figure 41. The Bonjour Gat...
56,P56_1,421,General infrastructure capability,© 2020 Cisco and/or its affiliates. All rights reserved. Page 56 of 76 Cisco AVC on the Cisco Catalyst 9800 Series wireless LAN controllers inherits N...
62,P62_1,624,Security protection boundary,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 62 of 76 For additional details, visit cisco.com and search for the Cisco CleanAir Techn..."
63,P63_1,671,Security protection boundary; Guest access isolation,© 2020 Cisco and/or its affiliates. All rights reserved. Page 63 of 76 accounting may be used to provide an audit trail of each employee’s access to t...
64,P64_1,550,Logical network/VLAN separation; Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 64 of 76 also be extended to provide RBAC for administrators through the use of AD group...
65,P65_1,423,Access layer abstraction; Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 65 of 76 Deployment Platform Choices: Campus Wired and Wireless LAN An organization choo...
66,P66_1,429,Access layer abstraction; Distribution layer aggregation; Power over Ethernet delivery,© 2020 Cisco and/or its affiliates. All rights reserved. Page 66 of 76 Enterprise Class—base foundation network capabilities Advanced—foundation plus ...
67,P67_1,382,Access layer abstraction; Distribution layer aggregation; Core layer transport,© 2020 Cisco and/or its affiliates. All rights reserved. Page 67 of 76 Enterprise Class—base foundation network capabilities Advanced—foundation plus ...
69,P69_1,498,Security protection boundary,© 2020 Cisco and/or its affiliates. All rights reserved. Page 69 of 76 Operate: Common Components in Campus Designs Device management using Cisco ISE ...
71,P71_1,494,General infrastructure capability,"© 2020 Cisco and/or its affiliates. All rights reserved. Page 71 of 76 Network Analysis Module support For increased visibility into your network, Cis..."
